episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.23836708068847656,-42.92779723984757,256
2,50,50,0.2697412967681885,-49.791729894444586,256
3,100,100,29.323692321777344,-115.09217846182254,150
4,150,150,42.1967716217041,-103.7412829555789,200
5,200,200,54.44927382469177,-70.14353909917412,250
6,250,250,67.54754185676575,-33.27312732366519,256
7,300,300,83.1029326915741,-28.002201310392827,256
8,350,350,96.95384478569031,-25.378756767635732,256
9,400,400,111.98524951934814,-22.015008709919517,256
10,450,450,125.98689222335815,-14.255737253641849,256
11,500,500,141.53165435791016,-14.302927523093176,256
12,550,550,155.90657258033752,-14.79457574137954,256
13,600,600,169.92237257957458,-7.981449313595156,256
14,650,650,185.7416286468506,-8.068601472830968,256
15,700,700,199.58952474594116,-7.101655769661255,256
16,750,750,215.23624873161316,-7.493105632375843,256
17,800,800,228.9664704799652,-7.552491055079871,256
18,850,850,245.17881798744202,-7.605138560619466,256
19,900,900,258.8954107761383,-7.161431261673528,256
20,950,950,272.4397599697113,-7.080377385945339,256
21,1000,1000,287.9958930015564,-7.285588560740743,256
