episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2331235408782959,-41.14815362793015,0
2,50,50,0.2655670642852783,-42.13693684001978,0
3,100,100,25.891996145248413,-96.97616657429313,22
4,150,150,33.54294967651367,-31.888450757317987,20
5,200,200,42.27238082885742,-37.5195489492489,21
6,250,250,52.99153017997742,-30.18907489817273,18
7,300,300,61.75852131843567,-24.6454378998196,18
8,350,350,69.72757267951965,-16.42925632844593,17
9,400,400,77.65923881530762,-15.75665722667228,17
10,450,450,88.57636451721191,-10.863190164941024,18
11,500,500,96.61779737472534,-9.04972440056469,15
12,550,550,103.96373987197876,-6.76055317096903,17
13,600,600,111.54918122291565,-6.958495095011765,17
14,650,650,121.39351630210876,-6.247675977096631,16
15,700,700,128.8245325088501,-5.995558464203532,17
16,750,750,136.13920378684998,-5.317258398101741,16
17,800,800,143.75572061538696,-5.905885173417622,16
18,850,850,154.0298674106598,-5.333684066674028,17
19,900,900,161.50971698760986,-5.860505577170765,17
20,950,950,168.83335137367249,-5.743664063637606,15
21,1000,1000,176.29593658447266,-5.850205162415342,17
