episode,step,env_step,total_time,episode_reward
1,0,0,0.1083214282989502,-1332.2901395301417
2,200,200,12.387843608856201,-1562.4500121086412
3,400,400,26.229422092437744,-1314.2687860640415
4,600,600,41.858856439590454,-1322.0391790391752
5,800,800,56.65892958641052,-1155.7481743199219
6,1000,1000,73.11292362213135,-626.898172315648
7,1200,1200,105.5460798740387,-612.2967680056664
8,1400,1400,122.05036401748657,-358.9009832763163
9,1600,1600,140.30860424041748,-355.8146378262395
10,1800,1800,158.24234318733215,-354.1666743437248
11,2000,2000,177.43796849250793,-350.470085169117
12,2200,2200,214.6627585887909,-359.7885029850346
13,2400,2400,234.10028529167175,-368.5933816064697
14,2600,2600,253.73762106895447,-366.8597789202843
15,2800,2800,273.0044333934784,-362.7645064756664
16,3000,3000,292.19681000709534,-365.64160653070303
17,3200,3200,330.5750653743744,-358.47897249024703
18,3400,3400,350.23392033576965,-358.3004153715534
19,3600,3600,369.75054907798767,-357.46846453626034
20,3800,3800,388.9802882671356,-356.1116605411995
21,4000,4000,408.03800535202026,-355.55010471718947
22,4200,4200,445.9171440601349,-355.7656019285329
23,4400,4400,465.13389134407043,-354.27259837127343
24,4600,4600,484.33368039131165,-355.62161082470806
25,4800,4800,503.6004409790039,-356.44271203950507
26,5000,5000,522.6796662807465,-357.9030116198073
27,5200,5200,560.3961305618286,-356.73201510308024
28,5400,5400,579.5877783298492,-355.9442453013806
29,5600,5600,599.1629214286804,-354.47650214588515
30,5800,5800,618.3845517635345,-353.7215641999986
31,6000,6000,637.8214771747589,-357.339892587066
