episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2331092357635498,-41.253609332207816,256
2,50,50,0.26359057426452637,-42.22089687218791,256
3,100,100,0.287456750869751,-37.072827252347544,256
4,150,150,0.3095991611480713,-43.59793556224712,256
5,200,200,31.228920698165894,-85.64018822742854,27
6,250,250,44.26645469665527,-21.616401415797434,29
7,300,300,56.70396018028259,-18.48531332364725,27
8,350,350,68.89813947677612,-17.584544806402167,25
9,400,400,81.12666726112366,-13.066344171966858,23
10,450,450,93.75837874412537,-10.815872078497225,20
11,500,500,105.52194285392761,-8.749811697422025,18
12,550,550,117.1697039604187,-8.627523744970969,17
13,600,600,127.88074541091919,-6.590582352748986,16
14,650,650,139.05860662460327,-6.950640573982608,18
15,700,700,151.05023312568665,-6.449531763835368,16
16,750,750,162.15056371688843,-6.6354944645779215,18
17,800,800,173.25862383842468,-6.6210605996911855,17
18,850,850,185.10375571250916,-6.8306882119852235,21
19,900,900,196.1187493801117,-6.385346141053462,16
20,950,950,207.18139672279358,-6.324572339779999,17
21,1000,1000,219.0213086605072,-6.153448204547107,16
