episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.23779773712158203,-41.253609332207816,256
2,50,50,0.28588151931762695,-42.22089687218791,256
3,100,100,0.3264491558074951,-37.072827252347544,256
4,150,150,0.3658618927001953,-43.59793556224712,256
5,200,200,130.35145139694214,-85.64018822742854,25
6,250,250,173.99991011619568,-24.70963796800683,23
7,300,300,216.6572515964508,-18.24420000934703,20
8,350,350,259.03022289276123,-15.952280991343873,21
9,400,400,305.44242215156555,-13.446063282681518,16
10,450,450,345.9456868171692,-10.015606624792504,19
11,500,500,388.0595455169678,-11.071924883775893,18
12,550,550,429.6713137626648,-9.600260619237616,21
13,600,600,472.0042259693146,-7.423998568388325,17
14,650,650,513.930127620697,-6.777348291023851,18
15,700,700,555.8585920333862,-7.231253809220685,17
16,750,750,596.4941010475159,-7.5221093585411305,20
17,800,800,640.3915865421295,-6.666792020854007,16
18,850,850,681.3178761005402,-7.171572480695632,19
19,900,900,723.5385842323303,-6.9512027255205036,16
20,950,950,765.2844681739807,-6.161830372224578,20
21,1000,1000,809.8308570384979,-6.819879107017076,18
