episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.2512962818145752,-38.214121439069174,256
2,50,50,0.29523229598999023,-36.49436770563638,256
3,100,100,0.3359231948852539,-42.05582391288422,256
4,150,150,0.36195826530456543,-45.50756974516914,256
5,200,200,117.96551179885864,-100.0073498424977,32
6,250,250,163.98735690116882,-25.219581454304414,23
7,300,300,206.5464551448822,-22.771087132513095,18
8,350,350,247.99367547035217,-21.986491040772332,20
9,400,400,290.91011810302734,-19.004936569972337,19
10,450,450,331.7185242176056,-15.281313948032057,19
11,500,500,374.7517886161804,-12.116032993868846,21
12,550,550,417.4034824371338,-10.810891323002467,21
13,600,600,459.93250584602356,-10.65620762502433,19
14,650,650,503.36998653411865,-7.518327327655117,18
15,700,700,550.4840815067291,-7.634697731919005,19
16,750,750,593.0587983131409,-7.947044105660572,18
17,800,800,635.9107632637024,-7.826363447280148,18
18,850,850,678.0427701473236,-7.612212983528431,22
19,900,900,721.2526972293854,-8.508205816766589,21
20,950,950,764.8574578762054,-8.481958738442259,19
21,1000,1000,807.5716996192932,-8.206690978080934,16
