episode,step,env_step,total_time,episode_reward
1,0,0,0.3238253593444824,-1333.0292785663921
2,200,200,15.026081323623657,-1541.8246221488391
3,400,400,33.89860248565674,-1417.148047361871
4,600,600,56.022260665893555,-1147.4264977651824
5,800,800,77.36766290664673,-776.3822244790814
6,1000,1000,106.9523241519928,-1160.3438877241153
7,1200,1200,153.23105597496033,-490.07879101216
8,1400,1400,180.63935899734497,-1185.564981059412
9,1600,1600,210.96923422813416,-360.2246017387525
10,1800,1800,245.79175353050232,-876.4687569349182
11,2000,2000,279.022732257843,-361.9039068984762
12,2200,2200,341.4579176902771,-363.2020138560124
13,2400,2400,374.0112600326538,-369.8600821941416
14,2600,2600,410.5642454624176,-492.0661379688364
15,2800,2800,443.38511085510254,-362.6492360131368
16,3000,3000,481.3714487552643,-364.96649600447824
17,3200,3200,544.8526637554169,-170.66618103521236
18,3400,3400,579.2194728851318,-163.68462455989498
19,3600,3600,614.4119889736176,-190.07988727479085
20,3800,3800,651.3228712081909,-186.53716610167854
21,4000,4000,685.3684058189392,-1351.777110327445
22,4200,4200,748.0258643627167,-1341.836978404437
23,4400,4400,782.7399938106537,-1360.6679327218178
24,4600,4600,817.2059824466705,-1027.4863769021663
25,4800,4800,855.8477518558502,-168.62544346270127
26,5000,5000,888.9535069465637,-174.2316186470383
27,5200,5200,951.723459482193,-169.69500252829917
28,5400,5400,986.455099105835,-175.42262253681824
29,5600,5600,1023.0198557376862,-167.86757766535501
30,5800,5800,1055.2283082008362,-1347.869403273911
31,6000,6000,1088.1423223018646,-1318.752738762602
