episode,step,env_step,total_time,episode_reward
1,0,0,0.11609554290771484,-1332.2901395301417
2,200,200,12.042690753936768,-1648.3113154930522
3,400,400,26.83756709098816,-1119.9406002882135
4,600,600,43.32482862472534,-1033.03619945491
5,800,800,61.41826558113098,-1187.690916249608
6,1000,1000,82.58025765419006,-1058.0963590452957
7,1200,1200,103.9974422454834,-615.7864214675906
8,1400,1400,125.17255973815918,-237.08482815696703
9,1600,1600,144.75329494476318,-251.61374603189836
10,1800,1800,165.41236996650696,-762.0778477254561
11,2000,2000,185.77870750427246,-131.77227508763187
12,2200,2200,205.43875312805176,-5.119740759493651
13,2400,2400,225.11342191696167,-241.82716221843478
14,2600,2600,244.48902583122253,-128.5159460033355
15,2800,2800,264.2045478820801,-127.89946622698524
16,3000,3000,284.046334028244,-372.79983548544453
17,3200,3200,303.74900007247925,-120.89832088055985
18,3400,3400,325.6657862663269,-1.914552223630259
19,3600,3600,346.8926558494568,-120.54199259666761
20,3800,3800,368.1845819950104,-5.582841468164934
21,4000,4000,388.0907151699066,-0.950068025412456
22,4200,4200,408.92649126052856,-356.29514235712475
23,4400,4400,429.3502004146576,-124.88458044694211
24,4600,4600,449.2862422466278,-515.9462309365214
25,4800,4800,468.9176323413849,-362.0179164341318
26,5000,5000,488.6240191459656,-121.6897599125804
27,5200,5200,508.4244511127472,-124.72797320452007
28,5400,5400,528.4045624732971,-503.1414948880675
29,5600,5600,548.934671163559,-123.72423288771854
30,5800,5800,571.0568218231201,-468.7501562731682
31,6000,6000,592.4074862003326,-236.8747630127645
