episode,step,env_step,total_time,episode_reward
1,0,0,0.12228274345397949,-1332.2901395301417
2,200,200,19.615269422531128,-1727.36369620886
3,400,400,46.81117868423462,-1172.493156868503
4,600,600,73.25862407684326,-903.2300993243173
5,800,800,99.15762543678284,-384.2089608698281
6,1000,1000,125.01203465461731,-724.5831397903928
7,1200,1200,150.62965536117554,-484.61308277941043
8,1400,1400,176.87180829048157,-883.2318697973077
9,1600,1600,203.75391697883606,-376.5813591265556
10,1800,1800,230.29122471809387,-485.2806701443291
11,2000,2000,257.22812819480896,-90.50235490384712
12,2200,2200,284.1184365749359,-5.177422423204224
13,2400,2400,311.17682337760925,-238.69231631454264
14,2600,2600,337.31178045272827,-252.06881830417183
15,2800,2800,363.38723731040955,-128.82005350559666
16,3000,3000,389.0200583934784,-360.0174687754781
17,3200,3200,415.0345709323883,-122.36224060324548
18,3400,3400,442.48052763938904,-4.523111353687637
19,3600,3600,469.3308017253876,-123.07118897245641
20,3800,3800,496.2752323150635,-5.5252301717357195
21,4000,4000,523.0545678138733,-4.397184724159146
22,4200,4200,550.1048164367676,-362.0320137876365
23,4400,4400,576.0620329380035,-127.73382695182406
24,4600,4600,601.8650386333466,-542.6757713317144
25,4800,4800,627.8752291202545,-359.41052986794966
26,5000,5000,654.2011003494263,-124.58221857536293
27,5200,5200,681.7871336936951,-127.59056862062336
28,5400,5400,708.8183782100677,-504.98447608071024
29,5600,5600,736.5994563102722,-123.06054456700454
30,5800,5800,763.3897955417633,-713.5431890476757
31,6000,6000,790.5253558158875,-238.304277556796
32,6200,6200,816.6798973083496,-126.78261326693628
33,6400,6400,842.6566534042358,-590.7821534517491
34,6600,6600,869.4568381309509,-123.63397182042735
35,6800,6800,895.9130609035492,-129.26801340067053
36,7000,7000,924.1019384860992,-369.6743548554186
37,7200,7200,951.1953248977661,-126.11174170604417
38,7400,7400,978.579461812973,-242.72813042959527
39,7600,7600,1005.8405225276947,-130.92728076203642
40,7800,7800,1033.3562066555023,-238.08552138152032
41,8000,8000,1059.9199187755585,-5.455049742770241
42,8200,8200,1086.450124502182,-5.397053253289202
43,8400,8400,1112.760793209076,-123.0134000176063
44,8600,8600,1139.7298498153687,-124.65085842008953
45,8800,8800,1167.8377327919006,-349.14527436566516
46,9000,9000,1195.3742396831512,-128.89675137411936
47,9200,9200,1222.2686710357666,-126.14413629502624
48,9400,9400,1249.9457068443298,-131.31691728522355
49,9600,9600,1276.415640592575,-361.05720623763057
50,9800,9800,1302.8950772285461,-128.52584031229023
51,10000,10000,1329.8730828762054,-128.72903391173693
