episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.27069616317749023,-78.34414959392807,0
2,100,100,0.3388025760650635,-75.39560209902504,0
3,200,200,0.3994605541229248,-84.22581250361536,0
4,300,300,0.47765564918518066,-79.69829538345192,0
5,400,400,0.5465552806854248,-83.9800727382471,0
6,500,500,0.607703685760498,-78.01284800946551,0
7,600,600,0.6656370162963867,-82.03937070459594,0
8,700,700,0.7245256900787354,-82.17995792738128,0
9,800,800,49.77417206764221,-95.54174528923669,54
10,900,900,63.21267247200012,-58.320948444080585,60
11,1000,1000,75.2964653968811,-66.88730856557032,55
12,1100,1100,90.25062012672424,-61.92450397046024,49
13,1200,1200,101.26764917373657,-58.27126873055394,51
14,1300,1300,114.26265525817871,-54.66633253647722,49
15,1400,1400,125.01871299743652,-60.710845281836704,48
16,1500,1500,135.95189595222473,-57.73090494071325,47
17,1600,1600,148.86997818946838,-52.45282757089165,45
18,1700,1700,159.7867739200592,-55.05954932808499,45
19,1800,1800,170.47582983970642,-52.65325465646535,46
20,1900,1900,183.20483350753784,-48.94472561447648,50
21,2000,2000,193.98240041732788,-52.3794875474274,49
22,2100,2100,204.83691143989563,-49.589628710554294,46
23,2200,2200,218.98142886161804,-47.03484249886053,46
24,2300,2300,232.03346133232117,-47.17855442822489,48
25,2400,2400,244.93217015266418,-46.458899413414215,43
26,2500,2500,259.28133749961853,-48.30081710111443,41
27,2600,2600,271.6563127040863,-45.62861017482369,39
28,2700,2700,285.0517210960388,-47.931266501340424,44
29,2800,2800,296.32498359680176,-48.289355521104035,45
30,2900,2900,307.87650966644287,-55.382653196435356,43
31,3000,3000,320.7940664291382,-62.828925290828444,42
