episode,step,env_step,total_time,episode_reward,num_inducing_points
1,0,0,0.276486873626709,-84.0280454129702,256
2,100,100,0.3406789302825928,-74.60739363708173,256
3,200,200,0.3901047706604004,-82.00658813150338,256
4,300,300,0.43930673599243164,-79.73690058885674,256
5,400,400,0.49506425857543945,-81.90279954033544,256
6,500,500,0.5614356994628906,-85.84042113109982,256
7,600,600,0.6112067699432373,-90.09980720158602,256
8,700,700,0.6613407135009766,-81.52881624406236,256
9,800,800,76.99729704856873,-127.44373329498787,15
10,900,900,93.9678897857666,-79.49680350695851,15
11,1000,1000,110.31525778770447,-75.78262191362434,16
12,1100,1100,127.87694907188416,-68.58111736706036,15
13,1200,1200,144.7786786556244,-68.72852650988575,16
14,1300,1300,162.09766912460327,-66.09007599684396,16
15,1400,1400,178.52982020378113,-68.64136902246503,17
16,1500,1500,195.7811131477356,-71.7468356612477,16
17,1600,1600,212.59151124954224,-62.735290855484564,16
18,1700,1700,230.3676474094391,-62.21855882444359,15
19,1800,1800,246.92536520957947,-60.25452843544728,15
20,1900,1900,264.27665758132935,-58.80829866826817,15
21,2000,2000,281.0656795501709,-58.32639106615522,13
22,2100,2100,298.49231600761414,-51.18951104885337,15
23,2200,2200,315.2845959663391,-57.14952372993237,16
24,2300,2300,332.74617648124695,-56.925006613438164,14
25,2400,2400,349.6177670955658,-53.530241048712355,15
26,2500,2500,367.5249834060669,-55.24802262841547,14
27,2600,2600,385.41841554641724,-56.2517283404228,13
28,2700,2700,403.3380455970764,-52.6869588630181,13
29,2800,2800,421.5326066017151,-51.31534891605476,15
30,2900,2900,439.0655014514923,-52.536053611324114,13
31,3000,3000,457.0487515926361,-53.28511109642909,14
